"column_name"," column_type"," offset_start"," offset_end"," length"," description"
"ex_xm_exempt","char(1)","7759","7759","1","EX-XM 11.25 exemption (‘T’ or ‘F’)"
"ex_xm_qualify_yr","numeric(4)","7760","7763","4","Qualify Year for EX-XM 11.25 exemption"
"ex_xm_prorate_begin","char(25)","7764","7788","25","Proration begin date for EX-XM 11.25 exemption"
"ex_xm_prorate_end","char(25)","7789","7813","25","Proration end date for EX-XM 11.25 exemption"
"ex_xn_exempt","char(1)","7814","7814","1","EX-XN 11.252 exemption (‘T’ or ‘F’)"
"ex_xn_qualify_yr","numeric(4)","7815","7818","4","Qualify Year for EX-XN 11.252 exemption"
"ex_xn_prorate_begin","char(25)","7819","7843","25","Proration begin date for EX-XN 11.252 exemption"
"ex_xn_prorate_end","char(25)","7844","7868","25","Proration end date for EX-XN 11.252 exemption"
"ex_xo_exempt","char(1)","7869","7869","1","EX-XO 11.254 exemption (‘T’ or ‘F’)"
"ex_xo_qualify_yr","numeric(4)","7870","7873","4","Qualify Year for EX-XO 11.254 exemption"
"ex_xo_prorate_begin","char(25)","7874","7898","25","Proration begin date for EX-XO 11.254 exemption"
"ex_xo_prorate_end","char(25)","7899","7923","25","Proration end date for EX-XO 11.254 exemption"
"ex_xp_exempt","char(1)","7924","7924","1","EX-XP 11.271 exemption (‘T’ or ‘F’)"
"ex_xp_qualify_yr","numeric(4)","7925","7928","4","Qualify Year for EX-XP 11.271 exemption"
"ex_xp_prorate_begin","char(25)","7929","7953","25","Proration begin date for EX-XP 11.271 exemption"
"ex_xp_prorate_end","char(25)","7954","7978","25","Proration end date for EX-XP 11.271 exemption"
"ex_xq_exempt","char(1)","7979","7979","1","EX-XQ 11.29 exemption (‘T’ or ‘F’)"
"ex_xq_qualify_yr","numeric(4)","7980","7983","4","Qualify Year for EX-XQ 11.29 exemption"
"ex_xq_prorate_begin","char(25)","7984","8008","25","Proration begin date for EX-XQ 11.29 exemption"
"ex_xq_prorate_end","char(25)","8009","8033","25","Proration end date for EX-XQ exemption 11.29 exemption"
"ex_xr_exempt","char(1)","8034","8034","1","EX-XR 11.30 exemption (‘T’ or ‘F’)"
"ex_xr_qualify_yr","numeric(4)","8035","8038","4","Qualify Year for EX-XR 11.30 exemption"
"ex_xr_prorate_begin","char(25)","8039","8063","25","Proration begin date for EX-XR 11.30 exemption"
"ex_xr_prorate_end","char(25)","8064","8088","25","Proration end date for EX-XR 11.30 exemption"
"ex_xs_exempt","char(1)","8089","8089","1","EX-XS 11.33 exemption (‘T’ or ‘F’)"
"ex_xs_qualify_yr","numeric(4)","8090","8093","4","Qualify Year for EX-XS 11.33 exemption"
"ex_xs_prorate_begin","char(25)","8094","8118","25","Proration begin date for EX-XS 11.33 exemption"
"ex_xs_prorate_end","char(25)","8119","8143","25","Proration end date for EX-XS 11.33 exemption"
"ex_xt_exempt","char(1)","8144","8144","1","EX-XT 11.34 exemption (‘T’ or ‘F’)"
"ex_xt_qualify_yr","numeric(4)","8145","8148","4","Qualify Year for EX-XT 11.34 exemption"
"ex_xt_prorate_begin","char(25)","8149","8173","25","Proration begin date for EX-XT 11.34 exemption"
"ex_xt_prorate_end","char(25)","8174","8198","25","Proration end date for EX-XT 11.34 exemption"
"ex_xu_exempt","char(1)","8199","8199","1","EX-XU 11.23 exemption (‘T’ or ‘F’)"
"ex_xu_qualify_yr","numeric(4)","8200","8203","4","Qualify Year for EX-XU 11.23 exemption"
"ex_xu_prorate_begin","char(25)","8204","8228","25","Proration begin date for EX-XU 11.23 exemption"
"ex_xu_prorate_end","char(25)","8229","8253","25","Proration end date for EX-XU 11.23 exemption"
"ex_xv_exempt","char(1)","8254","8254","1","EX-XV  exemption (‘T’ or ‘F’)"
"ex_xv_qualify_yr","numeric(4)","8255","8258","4","Qualify Year for EX-XV exemption"
"ex_xv_prorate_begin","char(25)","8259","8283","25","Proration begin date for EX-XV exemption"
"ex_xv_prorate_end","char(25)","8284","8308","25","Proration end date for EX-XV exemption"
"ex_xa_exempt","char(1)","8309","8309","1","EX-XA  exemption (‘T’ or ‘F’)"
"ex_xa_qualify_yr","numeric(4)","8310","8313","4","Qualify Year for EX-XA exemption"
"ex_xa_prorate_begin","char(25)","8314","8338","25","Proration begin date for EX-XA exemption"
"ex_xa_prorate_end","char(25)","8339","8363","25","Proration end date for EX-XA exemption"
"lve_qualify_yr","numeric(4)","8364","8367","4","Qualify Year for LVE exemption"
"ppv_exempt","char(1)","8368","8368","1","Personal Property Vehicle exemption"
"ppv_qualify_yr","numeric(4)","8369","8372","4","Qualify Year for PPV exemption"
"ppv_prorate_begin","char(25)","8373","8397","25","date PPV exemption began - used for proration"
"ppv_prorate_end","char(25)","8398","8422","25","date PPV exemption ended - used for proration"
"dvch_exempt","char(1)","8423","8423","1","Disabled Veteran Charity Homestead"
"dvch_qualify_yr","numeric(4)","8424","8427","4","Qualify Year for DVCH exemption"
"dvch_prorate_begin","char(25)","8428","8452","25","date DVCH exemption began - used for proration"
"dvch_prorate_end","char(25)","8453","8477","25","date DVCH exemption ended - used for proration"
"dvchs_exempt","char(1)","8478","8478","1","Disabled Veteran Charity Homestead Spouse"
"dvchs_qualify_yr","numeric(4)","8479","8482","4","Qualify Year for DVCHS exemption"
"dvchs_prorate_begin","char(25)","8483","8507","25","date DVCHS exemption began - used for proration"
"dvchs_prorate_end","char(25)","8508","8532","25","date DVCHS exemption ended - used for proration"
"masss_exempt","char(1)","8533","8533","1","Member Armed Services Surviving Spouse"
"masss_qualify_yr","numeric(4)","8534","8537","4","Qualify Year for MASSS exemption"
"masss_prorate_begin","char(25)","8538","8562","25","date MASSS exemption began - used for proration"
"masss_prorate_end","char(25)","8563","8587","25","date MASSS exemption ended - used for proration"
"pp_late_interstate_allocation_val","numeric(15)","8588","8602","15","Personal Property interstate allocation value that is subject to penalty"
"appraised_val_reflecting_productivity_loss","numeric(15)","8603","8617","15","Appraised Value reflecting Productivity Loss"
"assessed_val_reflecting_productivity_loss","numeric(15)","8618","8632","15","Assessed Value reflecting Productivity Loss"
"frss_exempt","char(1)","8633","8633","1","First Responder Surviving Spouse"
"frss_qualify_yr","numeric(4)","8634","8637","4","Qualify Year for FRSS exemption"
"frss_prorate_begin","char(25)","8638","8662","25","date FRSS exemption began - used for proration"
"frss_prorate_end","char(25)","8663","8687","25","date FRSS exemption ended - used for proration"
"abmno_exempt","char(1)","8688","8688","1","ABMNO (Abatement-MNO) exemption"
"abmno_qualify_yr","numeric(4)","8689","8692","4","Qualify Year for ABMNO exemption"
"abmno_prorate_begin","char(25)","8693","8717","25","date ABMNO exemption began - used for proration"
"abmno_prorate_end","char(25)","8718","8742","25","date ABMNO exemption ended - used for proration"
"dv1_deferral_date","char(25)","8743","8767","25","DV1 exemption deferral date"
"dv2_deferral_date","char(25)","8768","8792","25","DV2 exemption deferral date"
"dv3_deferral_date","char(25)","8793","8817","25","DV3 exemption deferral date"
"dv4_deferral_date","char(25)","8818","8842","25","DV4 exemption deferral date"
"dv1s_deferral_date","char(25)","8843","8867","25","DV1S exemption deferral date"
"dv2s_deferral_date","char(25)","8868","8892","25","DV2S exemption deferral date"
"dv3s_deferral_date","char(25)","8893","8917","25","DV3S exemption deferral date"
"dv4s_deferral_date","char(25)","8918","8942","25","DV4S exemption deferral date"
